alcohol,sugar,pH,class
11.1,5.51,3.01,1
12.53,5.81,2.97,1
10.7,7.27,3.33,1
11.69,3.25,3.37,0
9.44,4.67,3.18,0
11.97,3.35,3.49,0
9.15,7.75,3.1,1
8.87,4.35,3.11,1
11.42,2.45,3.52,0
9.34,3.2,3.41,0
10.25,1.99,3.21,0
9.55,2.26,3.39,0
11.26,2.58,3.51,1
9.04,3.69,3.18,0
8.98,6.31,3.0,0
12.68,6.82,3.5,1
10.57,1.29,3.38,0
10.84,8.11,3.44,1
12.48,5.74,3.07,1
9.05,7.37,3.19,1
12.17,7.43,3.1,1
10.06,3.48,3.54,0
9.28,1.59,3.26,0
9.45,4.61,3.29,0
8.97,4.5,3.28,0
9.36,6.97,3.22,1
9.8,7.8,3.21,1
9.4,4.47,3.06,1
9.45,7.66,2.99,1
11.84,2.22,3.57,0
11.04,7.28,3.16,1
9.57,2.31,3.55,1
10.17,6.47,3.29,1
11.38,4.43,3.36,1
11.0,4.83,3.3,0
12.18,6.23,3.12,1
9.29,1.28,3.43,0
10.39,4.37,3.05,0
11.9,5.76,3.26,1
10.58,1.46,3.54,0
9.2,4.55,3.23,0
11.74,7.22,3.27,1
12.45,3.88,3.32,1
12.09,7.73,3.59,1
9.98,1.33,3.36,1
9.97,5.44,3.07,1
11.3,4.06,3.21,0
10.62,2.65,3.37,0
11.87,3.91,3.26,1
10.93,2.06,3.04,1
9.66,6.84,3.38,1
9.61,2.28,3.51,0
9.3,2.59,3.32,0
10.35,7.38,3.18,1
9.19,2.63,3.44,0
11.89,3.8,3.17,1
12.63,3.52,3.33,0
10.61,2.19,3.29,0
10.67,4.21,3.52,0
11.56,1.41,2.9,1
12.68,2.95,3.49,0
9.2,5.79,3.28,1
10.51,4.11,3.33,0
9.68,3.99,3.07,1
9.72,3.33,3.42,0
12.2,3.66,3.36,0
11.25,2.52,3.53,0
